filename,title,artist,album_artist,album,tracknum,genre,year,duration,bitrate,codec,codec_profile,filesize,option1
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\29. ライバル.mp3","ライバル","","","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","29","Anime","2014",157.28,320,"MP3","CBR",6462049,""
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\31. ニブンノイチ (アニメVersion).mp3","ニブンノイチ (アニメVersion)","BACK-ON","BACK-ON","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","31","Anime","2014",93.71,320,"MP3","CBR",3919066,""
"file://Z:\\音樂區\\[140514]TVアニメ『ブラック・ブレット』OP主题歌「black bullet」／fripSide[320K+BK]\\MP3\\black bullet.mp3","black bullet","fripSide","fripSide","「ブラック・ブレット」オープニングテーマ『black bullet』","1","","",263.19,320,"MP3","CBR",10532969,""
"file://Z:\\音樂區\\[JPSEEK.COM]angela - angela Best Album Takara Bako-Treasure Box-\\[JPSEEK.COM]angela - angela Best Album Takara Bako-Treasure Box-\\DISC 1\\04.mp3","merry-go-round","angela","angela","宝箱-TREASURE BOX-","4","","2007",243.00,320,"MP3","CBR",9723904,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\Buddy Complex OPテーマ「UNISONIA／TRUE」01. UNISONIA.mp3","UNISONIA","TRUE","TRUE","UNISONIA","1","Anime","2014",257.45,320,"MP3","CBR",10482712,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\Kill la Kill - OP2「ambiguous／GARNiDELiA」01. ambiguous.mp3","ambiguous","GARNiDELiA","GARNiDELiA","ambiguous","1","Anime","2014",271.25,320,"MP3","CBR",11036838,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\鋼彈創鬥者 OP2「wimp ft. Lil\' Fang／BACK-ON」01. wimp ft. Lil\' Fang (from FAKY).mp3","wimp ft. Lil\' Fang (from FAKY)","BACK-ON","BACK-ON","wimp ft. Lil\' Fang (from FAKY)","1","Anime","2014",224.03,320,"MP3","CBR",9106541,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\鋼彈創鬥者 OP2「wimp ft. Lil\' Fang／BACK-ON」02. Traumatic.mp3","Traumatic","BACK-ON","BACK-ON","wimp ft. Lil\' Fang (from FAKY)","2","Anime","2014",199.47,320,"MP3","CBR",8124274,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\鋼彈創鬥者 OP2「wimp ft. Lil\' Fang／BACK-ON」04. wimp.mp3","wimp","BACK-ON","BACK-ON","wimp ft. Lil\' Fang (from FAKY)","4","Anime","2014",223.82,320,"MP3","CBR",9098104,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\飆速宅男 角色歌2「寒咲幹&橘綾」02. 道しるべ.mp3","道しるべ","橘綾(CV.潘めぐみ)","橘綾(CV.潘めぐみ)","TVアニメ「弱虫ペダル」キャラクターソング CD Vol.2","2","Anime","2013",248.23,320,"MP3","CBR",10043400,""
"file://Z:\\音樂區\\[얼티메이트] [131225] TVアニメ「キルラキル」オリジナルサウンドトラック (FLAC)\\FLAC\\01. Before my body is dry.flac","Before my body is dry","Mika Kobayashi","Mika Kobayashi","TVアニメ「キルラキル」オリジナルサウンドトラック","1","Anime","2013",246.78,971,"FLAC","",29985918,""
"file://Z:\\音樂區\\[얼티메이트] [140806] TVアニメ「アルドノア・ゼロ」OPテーマ「heavenly blue」／Kalafina (FLAC)\\FLAC\\01. heavenly blue.flac","heavenly blue","Kalafina","Kalafina","heavenly blue","1","Anime","2014",321.53,1051,"FLAC","",42325525,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」ED1&ED2テーマ「A／Z｜aLIEz」／SawanoHiroyuki[nZk] (FLAC+BK)\\FLAC\\02. A／Z.flac","A/Z","SawanoHiroyuki[nZk]","SawanoHiroyuki[nZk]","A/Z|aLIEz","2","Anime","2014",317.44,1013,"FLAC","",40279991,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」ED1&ED2テーマ「A／Z｜aLIEz」／SawanoHiroyuki[nZk] (FLAC+BK)\\FLAC\\03. aLIEz.flac","aLIEz","SawanoHiroyuki[nZk]","SawanoHiroyuki[nZk]","A/Z|aLIEz","3","Anime","2014",268.48,1065,"FLAC","",35815079,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」ED1&ED2テーマ「A／Z｜aLIEz」／SawanoHiroyuki[nZk] (FLAC+BK)\\FLAC\\04. Keep on keeping on.flac","Keep on keeping on","SawanoHiroyuki[nZk]","SawanoHiroyuki[nZk]","A/Z|aLIEz","4","Anime","2014",230.99,1049,"FLAC","",30367068,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」オリジナルサウンドトラック (FLAC+BK)\\FLAC\\20. BRE@TH／／LESS.flac","BRE@TH//LESS","MIKA KOBAYASHI","MIKA KOBAYASHI","TVアニメ「アルドノア・ゼロ」オリジナルサウンドトラック","20","Anime","2014",241.99,1085,"FLAC","",32882448,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[120509]機動戦士ガンダムUC オリジナルサウンドトラック3[320K]\\[120509]機動戦士ガンダムUC オリジナルサウンドトラック3[320K]\\Disc2\\03.MOBILE SUIT [Live].mp3","MOBILE SUIT [Live]","澤野弘之","澤野弘之","MOBILE SUIT Gundam Unicorn Original SoundTrack 3","3","アニメ","2012-01-01",167.42,320,"MP3","CBR",6769684,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[140521]『機動戦士ガンダム UC』ORIGINAL SOUNDTRACK 4／音楽 澤野弘之[320K]\\CD2\\08. RX-0.mp3","RX-0","Hiroyuki Sawano","Hiroyuki Sawano","MOBILE SUIT GUNDAM UNICORN ORIGINAL SOUNDTRACK 4 DISC 2","08","","2014",173.79,320,"MP3","CBR",6956207,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[얼티메이트] [140521] OVA「機動戦士ガンダムUC episode7」主題歌「StarRingChild」／Aimer (FLAC)\\FLAC\\01. StarRingChild.flac","StarRingChild","Aimer","Aimer","StarRingChild EP","1","Anime","2014",330.52,981,"FLAC","",40637228,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[얼티메이트] [140521] OVA「機動戦士ガンダムUC episode7」主題歌「StarRingChild」／Aimer (FLAC)\\FLAC\\03. Mine.flac","Mine","Aimer","Aimer","StarRingChild EP","3","Anime","2014",313.89,803,"FLAC","",31590595,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[얼티메이트] [140521] OVA「機動戦士ガンダムUC episode7」主題歌「StarRingChild」／Aimer (FLAC)\\FLAC\\04. StarRingChild -Movie Ver.-.flac","StarRingChild -Movie Ver.-","Aimer","Aimer","StarRingChild EP","4","Anime","2014",205.03,987,"FLAC","",25384434,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\RE_I AM - EP\\01 RE_I AM.m4a","RE:I AM","Aimer(エメ)","Aimer(エメ)","RE:I AM - EP","1","J-Pop","2013-03-20T07:00:00Z",347.63,261,"AAC","LC",11955513,""
"unpack://rar|153|file://Z:\\音樂區\\閃電霹靂車原聲帶大全 GPX_CYBER_FORMULA_SONG (2.38GB)\\Cyber Formula Future GPX Saga The Music Collection Of Best For GPX.rar|Cyber Formula Future GPX Saga The Music Collection Of Best For GPX\\14 - 決意.mp3","決意","未知","未知","無標題 - 05-07-21","14","未知","",190.51,224,"MP3","CBR",5333558,""
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\01. GUNDAM BUILD FIGHTERS.mp3","GUNDAM BUILD FIGHTERS","","","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","1","Anime","2014",296.99,320,"MP3","CBR",12050242,""
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\07. build-fight.mp3","build-fight","","","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","7","Anime","2014",131.51,320,"MP3","CBR",5431022,""
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\11. ガンプラバトル.mp3","ガンプラバトル","","","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","11","Anime","2014",133.76,320,"MP3","CBR",5521255,""
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\12. 紅の彗星 ～通常のフラメンコの3倍の情熱～.mp3","紅の彗星 ～通常のフラメンコの3倍の情熱～","","","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","12","Anime","2014",178.84,320,"MP3","CBR",7324163,""
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 1\\15. speed-star.mp3","speed-star","","","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","15","Anime","2014",168.16,320,"MP3","CBR",6896941,""
"file://Z:\\音樂區\\[140312] TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック (320K)\\MP3\\Disc 2\\07. QuickAttack.mp3","QuickAttack","","","TVアニメ「ガンダムビルドファイターズ」オリジナルサウンドトラック","7","Anime","2014",178.09,320,"MP3","CBR",7294382,""
"file://Z:\\音樂區\\[ASL] ClariS - Puella Magi Madoka☆Magica Hangyaku no Monogatari OP - Colorful [FLAC] [w Scans]\\03 Pieces.flac","Pieces","ClariS","ClariS","Colorful","3","Anime","2013/10/30",258.00,1065,"FLAC","",34744089,""
"file://Z:\\音樂區\\[JPSEEK.COM]angela - angela Best Album Takara Bako-Treasure Box-\\[JPSEEK.COM]angela - angela Best Album Takara Bako-Treasure Box-\\DISC 1\\01.mp3","明日へのbrilliant road","angela","angela","宝箱-TREASURE BOX-","1","","2007",300.00,320,"MP3","CBR",12003328,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\Buddy Complex ED「あの空に還る未来で／ChouCho」02. My dear friend.mp3","My dear friend","ChouCho","ChouCho","あの空に還る未来で","2","Anime","2014",227.96,320,"MP3","CBR",9301254,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\獻給某飛行員的戀歌 ED「風が知ってる／赤い公園」03. POP STAR.mp3","POP STAR","赤い公園","赤い公園","風が知ってる/ひつじ屋さん","3","Anime","2014",269.53,320,"MP3","CBR",11021719,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\飆速宅男 角色歌3「今泉俊輔&金城真護」03. ALL FOR ONE.mp3","ALL FOR ONE","今泉俊輔(CV.鳥海浩輔)&金城真護(CV.安元洋貴)","今泉俊輔(CV.鳥海浩輔)&金城真護(CV.安元洋貴)","TVアニメ「弱虫ペダル」キャラクターソング CD Vol.3","3","Anime","2013",225.06,320,"MP3","CBR",9338146,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\魔劍姬！通 ED「Reach for Light／藏合紗恵子」01. Reach for Light.mp3","Reach for Light","藏合紗恵子","藏合紗恵子","Reach for Light","1","Anime","2014",236.00,320,"MP3","CBR",9627704,""
"file://Z:\\音樂區\\[天使动漫]2014年1月新番歌曲集[320K]\\[天使动漫]2014年1月新番歌曲集[320K]\\MP3\\魔劍姬！通 ED「Reach for Light／藏合紗恵子」02. 終わらない歌.mp3","終わらない歌","藏合紗恵子","藏合紗恵子","Reach for Light","2","Anime","2014",253.65,320,"MP3","CBR",10334040,""
"file://Z:\\音樂區\\[萌之音音樂組][090909]angela ／ Land Ho！[320Kbps+bk]\\[萌之音音樂組][090909]angela ／ Land Ho！[320Kbps+bk]\\angela - innocence.mp3","innocence","angela","angela","angela ／ Land Ho！","9","www.mengair.net/bbs","2009/09/09",277.73,320,"MP3","CBR",11104175,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」オリジナルサウンドトラック (FLAC+BK)\\FLAC\\02. AZPV.flac","AZPV","","","TVアニメ「アルドノア・ゼロ」オリジナルサウンドトラック","2","Anime","2014",177.67,806,"FLAC","",17973958,""
"file://Z:\\音樂區\\[얼티메이트] [140910] TVアニメ「アルドノア・ゼロ」オリジナルサウンドトラック (FLAC+BK)\\FLAC\\04. MKAlieZ.flac","MKAlieZ","","","TVアニメ「アルドノア・ゼロ」オリジナルサウンドトラック","4","Anime","2014",222.35,980,"FLAC","",27305943,""
"file://Z:\\音樂區\\fripSide\\[960] fripSide - infinite synthesis\\02 LEVEL5 -judgelight-.flac","LEVEL5 -judgelight-","fripSide","fripSide","infinite synthesis","2","","2010",260.64,1175,"FLAC","",38293639,""
"file://Z:\\音樂區\\fripSide\\[960] fripSide - infinite synthesis\\05 future gazer.flac","future gazer","fripSide","fripSide","infinite synthesis","5","","2010",244.57,1140,"FLAC","",34850363,""
"file://Z:\\音樂區\\fripSide\\[960] fripSide - infinite synthesis\\10 trusty snow.flac","trusty snow","fripSide","fripSide","infinite synthesis","10","","2010",310.60,1143,"FLAC","",44398382,""
"file://Z:\\音樂區\\fripSide\\Decade\\01 - Decade.mp3","Decade","fripSide","fripSide","Decade","1","J-POP","2012",430.39,320,"MP3","CBR",17259890,""
"file://Z:\\音樂區\\fripSide\\Decade\\04 - come to mind(version3).mp3","come to mind(version3)","fripSide","fripSide","Decade","4","J-POP","2012",341.03,320,"MP3","CBR",13688461,""
"file://Z:\\音樂區\\fripSide\\Decade\\09 - a silent voice.mp3","a silent voice","fripSide","fripSide","Decade","9","J-POP","2012",381.86,320,"MP3","CBR",15320575,""
"file://Z:\\音樂區\\fripSide\\Decade\\10 - message(version2).mp3","message(version2)","fripSide","fripSide","Decade","10","J-POP","2012",332.25,320,"MP3","CBR",13338412,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[120509]機動戦士ガンダムUC オリジナルサウンドトラック3[320K]\\[120509]機動戦士ガンダムUC オリジナルサウンドトラック3[320K]\\Disc2\\05.FULL FRONTAL [Live].mp3","FULL FRONTAL [Live]","澤野弘之","澤野弘之","MOBILE SUIT Gundam Unicorn Original SoundTrack 3","5","アニメ","2012-01-01",197.36,320,"MP3","CBR",7969281,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[140521]『機動戦士ガンダム UC』ORIGINAL SOUNDTRACK 4／音楽 澤野弘之[320K]\\CD1\\10. EGO_nZK Ver._.mp3","EGO<nZK Ver.>","Hiroyuki Sawano","Hiroyuki Sawano","MOBILE SUIT GUNDAM UNICORN ORIGNIAL SOUNDTRACK 4","10","","2014",194.15,320,"MP3","CBR",7771231,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[140521]『機動戦士ガンダム UC』ORIGINAL SOUNDTRACK 4／音楽 澤野弘之[320K]\\CD1\\12. Sternengeang.mp3","Sternengeang","Hiroyuki Sawano","Hiroyuki Sawano","MOBILE SUIT GUNDAM UNICORN ORIGNIAL SOUNDTRACK 4","12","","2014",280.57,320,"MP3","CBR",11227751,""
"file://Z:\\音樂區\\Mobile Suit Gundam Unicorn\\[얼티메이트] [140625] OVA「機動戦士ガンダムUC」コラボアルバム「UnChild」／SawanoHiroyuki[nZk]：Aimer (320K)\\MP3\\12. RE：I AM -English Ver.-.mp3","RE:I AM -English Ver.-","SawanoHiroyuki[nZk]:Aimer","SawanoHiroyuki[nZk]:Aimer","UnChild","12","Anime","2014",347.91,320,"MP3","CBR",14002639,""
"file://Z:\\音樂區\\Yoko Kanno & The Seatbelts - Cowboy Bebop OST Box Music Only\\CD 3\\03 - WHAT PLANET IS THIS (live @Shibuya AX).flac","WHAT PLANET IS THIS (live @Shibuya AX)","Yoko Kanno & The Seatbelts","Yoko Kanno & The Seatbelts","Cowboy Bebop CD BOX 4CD OST (Music Only)","03","Soundtrack","2002",294.76,1010,"FLAC","",37208838,""
